Abell name       RA        Dec
ABELL2728        00:08: 0  -60:47
ABELL3906        22:45: 6  -60:46
ABELL3971        23:06: 0  -60:41
ABELL4067        23:59: 0  -60:40
ABELL2882        01:12: 0  -60:38
ABELL3967        23:05:36  -60:38
ABELL561S        06:00:54  -60:35
ABELL3927        22:52:36  -60:34
ABELL3825        21:58:24  -60:23
ABELL3940        22:55:24  -60:21
ABELL3914        22:47:30  -60:21
ABELL3261        04:29:18  -60:19
ABELL371S        03:36:54  -60:14
ABELL3957        23:02:12  -60:10
ABELL600S        06:55:30  -60:09
ABELL3966        23:05:36  -60:06
ABELL425S        04:08: 0  -60:04
ABELL2792        00:35:54  -60:01
ABELL4064        23:58:36  -59:59
ABELL3891        22:37:48  -59:58
ABELL3827        22:01:42  -59:56
ABELL558S        05:58: 0  -59:51
ABELL157S        01:25:48  -59:42
ABELL541S        05:40:12  -59:42
ABELL880S        20:34:12  -59:41
ABELL3272        04:32:36  -59:41
ABELL3919        22:49:18  -59:40
ABELL996S        22:09:18  -59:40
ABELL1168S       00:00:24  -59:39
ABELL280S        02:34:18  -59:37
ABELL3225        04:09:18  -59:36
ABELL410S        03:58:36  -59:35
ABELL153S        01:20:48  -59:33
ABELL537S        05:34:12  -59:24
ABELL927S        21:17: 0  -59:24
ABELL94S         00:53:42  -59:15
ABELL284S        02:35:18  -59:09
ABELL259S        02:25: 6  -59:03
ABELL813S        19:29:24  -58:59
ABELL369S        03:35:42  -58:57
ABELL401S        03:55:12  -58:57
ABELL3947        22:58:12  -58:44
ABELL3099        03:13:18  -58:42
ABELL3975        23:08: 0  -58:40
ABELL560S        06:00:42  -58:36
ABELL3890        22:37:18  -58:34
ABELL205S        01:55:12  -58:32
ABELL3334        05:18: 0  -58:32
ABELL184S        01:43:12  -58:25
ABELL3981        23:13:30  -58:25
ABELL80S         00:48: 6  -58:24
ABELL3871        22:22:48  -58:20
ABELL208S        01:57:24  -58:19
ABELL883S        20:36: 6  -58:18
ABELL3939        22:55: 6  -58:11
ABELL2951        01:53:18  -58:10
ABELL161S        01:30:24  -58:09
ABELL988S        22:04:30  -58:07
ABELL3106        03:14:30  -58:05
ABELL430S        04:10:12  -57:59
ABELL3278        04:35:42  -57:59
ABELL4019        23:36:24  -57:55
ABELL274S        02:31:12  -57:55
ABELL888S        20:39:36  -57:51
ABELL3822        21:54: 6  -57:50
ABELL608S        08:04:12  -57:45
ABELL354S        03:27:48  -57:43
ABELL3298        04:58:18  -57:41
ABELL920S        21:06:36  -57:39
ABELL3867        22:21:18  -57:39
ABELL3051        02:46: 6  -57:38
ABELL885S        20:36:30  -57:37
ABELL126S        01:06:48  -57:35
ABELL857S        20:13:36  -57:28
ABELL3991        23:18:54  -57:25
ABELL93S         00:53:18  -57:24
ABELL2876        01:09: 6  -57:17
ABELL881S        20:35:30  -57:17
ABELL3806        21:46:36  -57:17
ABELL3875        22:26: 6  -57:13
ABELL288S        02:36:48  -57:08
ABELL1035S       22:33:48  -57:08
ABELL998S        22:10:36  -57:07
ABELL552S        05:51: 6  -57:06
ABELL3860        22:20: 0  -57:05
ABELL3647        19:44:24  -57:03
ABELL3164        03:45:48  -57:02
ABELL170S        01:34:36  -57:00
ABELL587S        06:23:54  -56:59
ABELL2731        00:10:12  -56:59
ABELL45S         00:25:42  -56:58
ABELL3645        19:43:48  -56:56
ABELL3697        20:36:36  -56:55
ABELL3312        05:03:54  -56:55
ABELL412S        04:01:42  -56:53
ABELL3667        20:12:30  -56:48
ABELL2820        00:47:42  -56:46
ABELL854S        20:11:24  -56:44
ABELL2888        01:14:18  -56:43
ABELL323S        03:08:42  -56:39
ABELL2897        01:18:12  -56:38
ABELL3320        05:08: 0  -56:30
ABELL298S        02:47: 6  -56:29
ABELL1020S       22:24:18  -56:28
ABELL188S        01:45: 6  -56:26
ABELL3685        20:32:12  -56:25
ABELL979S        21:53:18  -56:23
ABELL3946        22:57:54  -56:21
ABELL941S        21:24:24  -56:19
ABELL3210        04:02:36  -56:17
ABELL3950        22:59:54  -56:13
ABELL522S        05:18:24  -56:13
ABELL530S        05:26:12  -56:13
ABELL958S        21:36:18  -56:11
ABELL3826        21:59:54  -56:09
ABELL2806        00:40:12  -56:09
ABELL3019        02:26:36  -56:07
ABELL1145S       23:45:30  -56:02
ABELL3031        02:31:30  -56:01
ABELL3689        20:33:48  -56:00
ABELL4027        23:41:42  -55:58
ABELL840S        20:03:24  -55:57
ABELL1158S       23:52: 6  -55:56
ABELL195S        01:48:24  -55:52
ABELL482S        04:38: 6  -55:52
ABELL1023S       22:25:36  -55:49
ABELL3973        23:07:42  -55:45
ABELL2903        01:21:42  -55:43
ABELL2868        01:06:24  -55:43
ABELL2858        01:02: 6  -55:43
ABELL3126        03:28:42  -55:42
ABELL2833        00:52:42  -55:41
ABELL251S        02:22: 6  -55:40
ABELL3732        21:01:30  -55:40
ABELL76S         00:46:30  -55:37
ABELL3905        22:45: 0  -55:37
ABELL3938        22:55: 0  -55:34
ABELL981S        21:55:42  -55:34
ABELL599S        06:55:18  -55:32
ABELL95S         00:53:54  -55:31
ABELL3040        02:40: 6  -55:25
ABELL372S        03:37:12  -55:25
ABELL1095S       23:11:30  -55:22
ABELL2831        00:51:18  -55:22
ABELL3816        21:50:24  -55:18
ABELL529S        05:25:24  -55:18
ABELL305S        02:52: 0  -55:14
ABELL377S        03:40:42  -55:12
ABELL504S        04:55: 6  -55:11
ABELL2787        00:31:54  -55:11
ABELL87S         00:50:54  -55:09
ABELL3869        22:21:24  -55:07
ABELL3651        19:52:12  -55:05
ABELL3144        03:37: 6  -55:01
ABELL3058        02:50:18  -54:56
ABELL3718        20:55:54  -54:55
ABELL3634        18:59: 0  -54:55
ABELL3708        20:43:12  -54:54
ABELL806S        18:51:30  -54:51
ABELL1115S       23:22: 0  -54:46
ABELL77S         00:46:42  -54:44
ABELL3886        22:31:42  -54:44
ABELL2933        01:40:42  -54:33
ABELL520S        05:16:24  -54:31
ABELL935S        21:20:30  -54:28
ABELL3395        06:27:30  -54:23
